Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,250
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.98492e-03,0,0
-1.98488e-03,0,-0.8
-1.98484e-03,0,0
-1.98480e-03,0,0
-1.98476e-03,0,0
-1.98472e-03,0,0
-1.98468e-03,0,0
-1.98464e-03,0,0
-1.98460e-03,0,0
-1.98456e-03,0,0
-1.98452e-03,0,0
-1.98448e-03,0,-0.8
-1.98444e-03,0,0
-1.98440e-03,0,0
-1.98436e-03,0,0
-1.98432e-03,0,0
-1.98428e-03,0,0
-1.98424e-03,0,0
-1.98420e-03,0,0
-1.98416e-03,0,0
-1.98412e-03,0,0
-1.98408e-03,0,0
-1.98404e-03,0,0
-1.98400e-03,0,0
-1.98396e-03,0,0
-1.98392e-03,0,0
-1.98388e-03,0,-0.8
-1.98384e-03,0,-0.8
-1.98380e-03,0,0
-1.98376e-03,0,0
-1.98372e-03,0,0
-1.98368e-03,0,0
-1.98364e-03,0,0
-1.98360e-03,0,0
-1.98356e-03,0,0
-1.98352e-03,0,0
-1.98348e-03,0,0
-1.98344e-03,0,0
-1.98340e-03,0,0
-1.98336e-03,0,0
-1.98332e-03,0,0
-1.98328e-03,0,0
-1.98324e-03,0,0
-1.98320e-03,0,0
-1.98316e-03,0,0
-1.98312e-03,0,0
-1.98308e-03,0,0
-1.98304e-03,0,0
-1.98300e-03,0,0
-1.98296e-03,0,0
-1.98292e-03,0,0
-1.98288e-03,0,0
-1.98284e-03,0,0
-1.98280e-03,0,0
-1.98276e-03,0,0
-1.98272e-03,0,0
-1.98268e-03,0,-0.8
-1.98264e-03,0,0
-1.98260e-03,0,0
-1.98256e-03,0,0
-1.98252e-03,0,0
-1.98248e-03,0,0
-1.98244e-03,0,0
-1.98240e-03,0,0
-1.98236e-03,0,0
-1.98232e-03,0,0
-1.98228e-03,0,-0.8
-1.98224e-03,0,0
-1.98220e-03,0,0
-1.98216e-03,0,0
-1.98212e-03,0,0
-1.98208e-03,0,0
-1.98204e-03,0,0
-1.98200e-03,0,0
-1.98196e-03,0,0
-1.98192e-03,0,0
-1.98188e-03,0,0
-1.98184e-03,0,0
-1.98180e-03,0,0
-1.98176e-03,0,0
-1.98172e-03,0,-0.8
-1.98168e-03,0,0
-1.98164e-03,0,0
-1.98160e-03,0,0
-1.98156e-03,0,-0.8
-1.98152e-03,0,0
-1.98148e-03,0,0
-1.98144e-03,0,0
-1.98140e-03,0,0
-1.98136e-03,0,0
-1.98132e-03,0,0
-1.98128e-03,0,0
-1.98124e-03,0,0
-1.98120e-03,0,0
-1.98116e-03,0,0
-1.98112e-03,0,0
-1.98108e-03,0,0
-1.98104e-03,0,0
-1.98100e-03,0,0
-1.98096e-03,0,0
-1.98092e-03,0,-0.8
-1.98088e-03,0,0
-1.98084e-03,0,0
-1.98080e-03,0,0
-1.98076e-03,0,0
-1.98072e-03,0.04,0
-1.98068e-03,0,0
-1.98064e-03,0,0
-1.98060e-03,0,-0.8
-1.98056e-03,0,0
-1.98052e-03,0,0
-1.98048e-03,0,0
-1.98044e-03,0,0
-1.98040e-03,0,0
-1.98036e-03,0,0
-1.98032e-03,0,0
-1.98028e-03,0,0
-1.98024e-03,0,0
-1.98020e-03,0,0
-1.98016e-03,0,0
-1.98012e-03,0,0
-1.98008e-03,0,-0.8
-1.98004e-03,0,0
-1.98000e-03,0,0
-1.97996e-03,0,0
-1.97992e-03,-0.04,0
-1.97988e-03,0,0
-1.97984e-03,0,0
-1.97980e-03,0,0
-1.97976e-03,0,0
-1.97972e-03,0,0
-1.97968e-03,0,0
-1.97964e-03,0,-0.8
-1.97960e-03,0,0
-1.97956e-03,0,-0.8
-1.97952e-03,0,0
-1.97948e-03,0,-0.8
-1.97944e-03,0,0
-1.97940e-03,0,0
-1.97936e-03,0,0
-1.97932e-03,0,0
-1.97928e-03,0,0
-1.97924e-03,0,0
-1.97920e-03,0,0
-1.97916e-03,0,0
-1.97912e-03,0,0
-1.97908e-03,0,0
-1.97904e-03,0,0
-1.97900e-03,0,0
-1.97896e-03,0,0
-1.97892e-03,0.04,0
-1.97888e-03,0,0
-1.97884e-03,0,0
-1.97880e-03,0,0
-1.97876e-03,0,0
-1.97872e-03,0,0
-1.97868e-03,0,0
-1.97864e-03,0,0
-1.97860e-03,0,0
-1.97856e-03,0,0
-1.97852e-03,0,0
-1.97848e-03,0,0
-1.97844e-03,0,0
-1.97840e-03,0,0
-1.97836e-03,0,0
-1.97832e-03,0,0
-1.97828e-03,0,0
-1.97824e-03,0,-0.8
-1.97820e-03,0,0
-1.97816e-03,0,-0.8
-1.97812e-03,0,0
-1.97808e-03,0,0
-1.97804e-03,0,0
-1.97800e-03,0,0
-1.97796e-03,0,-0.8
-1.97792e-03,0,0
-1.97788e-03,0,0
-1.97784e-03,0,0
-1.97780e-03,0,0
-1.97776e-03,0,0
-1.97772e-03,0,0
-1.97768e-03,0,0
-1.97764e-03,0,0
-1.97760e-03,0,0
-1.97756e-03,0,0
-1.97752e-03,0,0
-1.97748e-03,0,0
