Freq.	V(v_out)
2.81838293126444e+02	-5.85524080281272e-02,2.21464367916797e-02
3.16227766016837e+02	-7.22691830804584e-02,3.12120741652986e-02
3.54813389233574e+02	-8.86384924328944e-02,4.39305797157416e-02
3.98107170553496e+02	-1.07778807604039e-01,6.17029750620249e-02
4.46683592150961e+02	-1.29483272342595e-01,8.63825221774333e-02
5.01187233627270e+02	-1.52932485063145e-01,1.20319390237388e-01
5.62341325190347e+02	-1.76260180175206e-01,1.66280530549531e-01
6.30957344480191e+02	-1.95983556011915e-01,2.27085786875782e-01
7.07945784384135e+02	-2.06454476470223e-01,3.04730191576289e-01
7.94328234724278e+02	-1.99781226668420e-01,3.98816048613555e-01
8.91250938133742e+02	-1.67004225222103e-01,5.04547509369085e-01
9.99999999999995e+02	-1.01152914941368e-01,6.11483216701824e-01
1.12201845430196e+03	-1.40918078430385e-03,7.04982459904057e-01
1.25892541179416e+03	1.24495241379121e-01,7.71068409699980e-01
1.41253754462275e+03	2.62399204805861e-01,8.02094336046109e-01
1.58489319246111e+03	3.97339905829669e-01,7.99013310427076e-01
1.77827941003891e+03	5.18517840513854e-01,7.69083224800727e-01
1.99526231496887e+03	6.20866502941455e-01,7.21683199849927e-01
2.23872113856833e+03	7.03858829538268e-01,6.65172415505429e-01
2.51188643150957e+03	7.69490398643199e-01,6.05640942895958e-01
2.81838293126444e+03	8.20675400061795e-01,5.46949704326709e-01
3.16227766016836e+03	8.60334300870206e-01,4.91267542887585e-01
3.54813389233573e+03	8.91004280509136e-01,4.39642350165024e-01
3.98107170553495e+03	9.14741447384556e-01,3.92441875043474e-01
4.46683592150961e+03	9.33153391976526e-01,3.49648959935288e-01
5.01187233627269e+03	9.47474871689836e-01,3.11044144249158e-01
5.62341325190346e+03	9.58647213603130e-01,2.76312872988265e-01
6.30957344480189e+03	9.67386957354623e-01,2.45105899998009e-01
7.07945784384134e+03	9.74240531959649e-01,2.17071903978836e-01
7.94328234724277e+03	9.79626121557180e-01,1.91874092208278e-01
8.91250938133740e+03	9.83865123808587e-01,1.69197790890623e-01
9.99999999999994e+03	9.87205611922879e-01,1.48753077997823e-01
1.12201845430196e+04	9.89839816306193e-01,1.30274767928802e-01
1.25892541179416e+04	9.91917186147454e-01,1.13521043890312e-01
1.41253754462275e+04	9.93554193872510e-01,9.82714542194899e-02
1.58489319246110e+04	9.94841733456384e-01,8.43246605633607e-02
1.77827941003891e+04	9.95850730577859e-01,7.14961413558953e-02
1.99526231496887e+04	9.96636412738436e-01,5.96159511528881e-02
2.23872113856832e+04	9.97241564888109e-01,4.85265794951954e-02
2.51188643150956e+04	9.97699007728178e-01,3.80809218489066e-02
2.81838293126443e+04	9.98033471772115e-01,2.81403583817254e-02
3.16227766016836e+04	9.98262993202612e-01,1.85729274295434e-02
3.54813389233573e+04	9.98399922379994e-01,9.25157585308863e-03
3.98107170553494e+04	9.98451608823947e-01,5.24660324304968e-05
4.46683592150960e+04	9.98420804913383e-01,-9.14668216508061e-03
5.01187233627269e+04	9.98305812405753e-01,-1.84682371475315e-02
5.62341325190345e+04	9.98100379551484e-01,-2.80363128541676e-02
6.30957344480188e+04	9.97793340654273e-01,-3.79784625753497e-02
7.07945784384133e+04	9.97367973001294e-01,-4.84274360937604e-02
7.94328234724275e+04	9.96801026585024e-01,-5.95230289908377e-02
8.91250938133739e+04	9.96061357996872e-01,-7.14140553238789e-02
1.00000000000000e+05	9.95108068653797e-01,-8.42604771110633e-02
