Freq.	V(n003)
8.91250938133743e+02	-8.61860069200266e-05,-5.13508844667343e-04
9.99999999999997e+02	-1.36461759885971e-04,-7.22663732762182e-04
1.12201845430196e+03	-2.16009931679255e-04,-1.01601167278918e-03
1.25892541179416e+03	-3.41818381594204e-04,-1.42665772588722e-03
1.41253754462275e+03	-5.40677521416441e-04,-2.00009685946281e-03
1.58489319246111e+03	-8.54779572244165e-04,-2.79833845922660e-03
1.77827941003892e+03	-1.35045705740187e-03,-3.90496342487240e-03
1.99526231496887e+03	-2.13175779916370e-03,-5.43089868757801e-03
2.23872113856833e+03	-3.36140156282247e-03,-7.52013634554106e-03
2.51188643150957e+03	-5.29285114258486e-03,-1.03534699238060e-02
2.81838293126444e+03	-8.31877965534991e-03,-1.41460367124602e-02
3.16227766016837e+03	-1.30429446120422e-02,-1.91300793138999e-02
3.54813389233574e+03	-2.03836020490401e-02,-2.55061757704251e-02
3.98107170553496e+03	-3.17146981253126e-02,-3.33314243258524e-02
4.46683592150961e+03	-4.90396262192010e-02,-4.22876916141807e-02
5.01187233627270e+03	-7.51550070140400e-02,-5.12338402464554e-02
5.62341325190347e+03	-1.13661778397995e-01,-5.74012487515843e-02
6.30957344480190e+03	-1.68449598299094e-01,-5.51015007287325e-02
7.07945784384135e+03	-2.41859341202131e-01,-3.40973804576902e-02
7.94328234724278e+03	-3.30369578715315e-01,2.11299519063560e-02
8.91250938133741e+03	-4.17826511881164e-01,1.27693592329848e-01
9.99999999999995e+03	-4.71824969773725e-01,2.91811758330032e-01
1.12201845430196e+04	-4.55576399863026e-01,4.92543532906960e-01
1.25892541179416e+04	-3.55245522113051e-01,6.83830887893973e-01
1.41253754462275e+04	-1.92801571885613e-01,8.23512980886880e-01
1.58489319246111e+04	-6.77718434229364e-03,8.97278617178849e-01
1.77827941003891e+04	1.72382350582344e-01,9.14652664367005e-01
1.99526231496887e+04	3.29733172369335e-01,8.93199028935074e-01
2.23872113856833e+04	4.61445925972342e-01,8.48555593386609e-01
2.51188643150957e+04	5.69051921035528e-01,7.91776653521516e-01
2.81838293126444e+04	6.55911868386280e-01,7.29920045946120e-01
3.16227766016836e+04	7.25608730512619e-01,6.67270444613375e-01
3.54813389233573e+04	7.81363077161242e-01,6.06341335705194e-01
3.98107170553495e+04	8.25888237486691e-01,5.48545527040870e-01
4.46683592150960e+04	8.61407823671417e-01,4.94614997414586e-01
5.01187233627269e+04	8.89721637042856e-01,4.44860021972048e-01
5.62341325190346e+04	9.12277927649387e-01,3.99330391132391e-01
6.30957344480189e+04	9.30238515981553e-01,3.57917300829602e-01
7.07945784384133e+04	9.44533723871108e-01,3.20418716977857e-01
7.94328234724276e+04	9.55907518840655e-01,2.86581714009419e-01
8.91250938133740e+04	9.64954209447358e-01,2.56129951669384e-01
9.99999999999993e+04	9.72148118967251e-01,2.28781374269232e-01
1.12201845430196e+05	9.77867510047391e-01,2.04259393569633e-01
1.25892541179416e+05	9.82413832835229e-01,1.82299700598274e-01
1.41253754462274e+05	9.86027182573010e-01,1.62654144763178e-01
1.58489319246110e+05	9.88898692859399e-01,1.45092656968633e-01
1.77827941003891e+05	9.91180457418983e-01,1.29403884711661e-01
1.99526231496886e+05	9.92993462860441e-01,1.15394997131558e-01
2.23872113856832e+05	9.94433923935883e-01,1.02890973535859e-01
2.51188643150956e+05	9.95578338078441e-01,9.17335889258845e-02
2.81838293126443e+05	9.96487514818179e-01,8.17802406168880e-02
3.16227766016835e+05	9.97209785791476e-01,7.29027118402161e-02
3.54813389233573e+05	9.97783560537420e-01,6.49859348157071e-02
