Freq.	V(n003)
5.01187233627271e+02	9.99520051019976e-01,-2.64332672470195e-02
5.62341325190348e+02	9.99395844091711e-01,-2.96559551330472e-02
6.30957344480192e+02	9.99239514273719e-01,-3.32707746972410e-02
7.07945784384136e+02	9.99042766004929e-01,-3.73251220138224e-02
7.94328234724279e+02	9.98795168558070e-01,-4.18719908240185e-02
8.91250938133743e+02	9.98483610630411e-01,-4.69705794979938e-02
9.99999999999997e+02	9.98091618038824e-01,-5.26869410537601e-02
1.12201845430196e+03	9.97598501576518e-01,-5.90946689848380e-02
1.25892541179416e+03	9.96978294996935e-01,-6.62756058284492e-02
1.41253754462275e+03	9.96198434977725e-01,-7.43205530096633e-02
1.58489319246111e+03	9.95218125971514e-01,-8.33299485686938e-02
1.77827941003892e+03	9.93986323546451e-01,-9.34144626777969e-02
1.99526231496887e+03	9.92439261113639e-01,-1.04695437820437e-01
2.23872113856833e+03	9.90497438554263e-01,-1.17305069267183e-01
2.51188643150957e+03	9.88061990103512e-01,-1.31386179966309e-01
2.81838293126444e+03	9.85010357585235e-01,-1.47091390201966e-01
3.16227766016837e+03	9.81191220873548e-01,-1.64581415160725e-01
3.54813389233574e+03	9.76418690749906e-01,-1.84022143752526e-01
3.98107170553496e+03	9.70465864586825e-01,-2.05580064868707e-01
4.46683592150961e+03	9.63058000972012e-01,-2.29415526052916e-01
5.01187233627270e+03	9.53865806112223e-01,-2.55673261437808e-01
5.62341325190347e+03	9.42499659778334e-01,-2.84469659403159e-01
6.30957344480190e+03	9.28506042691514e-01,-3.15876434556474e-01
7.07945784384135e+03	9.11367921569546e-01,-3.49900838269671e-01
7.94328234724278e+03	8.90511284373454e-01,-3.86463433099116e-01
8.91250938133741e+03	8.65320145266763e-01,-4.25375914966889e-01
9.99999999999995e+03	8.35161714433939e-01,-4.66323561839874e-01
1.12201845430196e+04	7.99421389617847e-01,-5.08859471134883e-01
1.25892541179416e+04	7.57542936819894e-01,-5.52420265975846e-01
1.41253754462275e+04	7.09061824334122e-01,-5.96374271241903e-01
1.58489319246111e+04	6.53608413808326e-01,-6.40111543558767e-01
1.77827941003891e+04	5.90841663834041e-01,-6.83178335012881e-01
1.99526231496887e+04	5.20250271321972e-01,-7.25443301621365e-01
2.23872113856833e+04	4.40717031920682e-01,-7.67250412787139e-01
2.51188643150957e+04	3.49657947745150e-01,-8.09431174391011e-01
2.81838293126444e+04	2.41374176379620e-01,-8.52788310716781e-01
3.16227766016836e+04	1.04024210881530e-01,-8.95748403378462e-01
3.54813389233573e+04	-8.45881533129334e-02,-9.25761606120576e-01
3.98107170553495e+04	-3.52003784690553e-01,-8.92863602114999e-01
4.46683592150960e+04	-6.58538979888897e-01,-6.75436199571698e-01
5.01187233627269e+04	-7.59494095130980e-01,-2.47180176619869e-01
5.62341325190346e+04	-5.60064001979436e-01,7.03788787524673e-02
6.30957344480189e+04	-3.30103683074448e-01,1.56777314459567e-01
7.07945784384133e+04	-1.84654019435685e-01,1.43820245501379e-01
7.94328234724276e+04	-1.04103137463409e-01,1.10833304637062e-01
8.91250938133740e+04	-5.99017132426463e-02,8.07346757276061e-02
9.99999999999993e+04	-3.51522936511689e-02,5.75956657023613e-02
1.12201845430196e+05	-2.09638607323437e-02,4.07597021051660e-02
1.25892541179416e+05	-1.26610019994890e-02,2.87607453897968e-02
1.41253754462274e+05	-7.72133128240360e-03,2.02777412507151e-02
1.58489319246110e+05	-4.74428357644012e-03,1.42979025417379e-02
1.77827941003891e+05	-2.93197322270266e-03,1.00856956542791e-02
1.99526231496886e+05	-1.82009399327923e-03,7.11807932207986e-03
2.23872113856832e+05	-1.13380756855705e-03,5.02620333413162e-03
2.51188643150956e+05	-7.08213962114023e-04,3.55071524498553e-03
2.81838293126443e+05	-4.43315610426639e-04,2.50935838123516e-03
3.16227766016835e+05	-2.77962622174651e-04,1.77399788359408e-03
3.54813389233573e+05	-1.74513905448463e-04,1.25447509748068e-03
3.98107170553494e+05	-1.09678920616844e-04,8.87294583818318e-04
4.46683592150960e+05	-6.89876160704856e-05,6.27700028939693e-04
5.01187233627268e+05	-4.34209751884683e-05,4.44119481883689e-04
5.62341325190344e+05	-2.73432358616722e-05,3.14266743077957e-04
6.30957344480188e+05	-1.72256631209079e-05,2.22401567266258e-04
7.07945784384132e+05	-1.08552844098760e-05,1.57401879076279e-04
7.94328234724275e+05	-6.84253180636978e-06,1.11405865890290e-04
8.91250938133738e+05	-4.31399826592327e-06,7.88545950002181e-05
9.99999999999991e+05	-2.72027331436635e-06,5.58164910207577e-05
1.12201845430195e+06	-1.71553749052436e-06,3.95103846886331e-05
1.25892541179416e+06	-1.08201084976349e-06,2.79685849839041e-05
1.41253754462274e+06	-6.82492261933335e-07,1.97987646011271e-05
1.58489319246110e+06	-4.30518093066715e-07,1.40156208157852e-05
1.77827941003891e+06	-2.71585742596237e-07,9.92183211637574e-06
1.99526231496886e+06	-1.71332559555887e-07,7.02385621277716e-06
2.23872113856832e+06	-1.08090279028268e-07,4.97236145969133e-06
2.51188643150956e+06	-6.81937121218710e-08,3.52007912693147e-06
2.81838293126443e+06	-4.30239945032239e-08,2.49197838069976e-06
3.16227766016835e+06	-2.71446370750944e-08,1.76415926976411e-06
3.54813389233572e+06	-1.71262721061556e-08,1.24891431595492e-06
3.98107170553494e+06	-1.08055281999278e-08,8.84155300585284e-07
4.46683592150959e+06	-6.81761741008374e-09,6.25929336319423e-07
5.01187233627268e+06	-4.30152054842650e-09,4.43121402256832e-07
5.62341325190344e+06	-2.71402324547424e-09,3.13704448157547e-07
6.30957344480187e+06	-1.71240646955428e-09,2.22084909020945e-07
7.07945784384131e+06	-1.08044219252132e-09,1.57223606902848e-07
7.94328234724274e+06	-6.81706297974339e-10,1.11305526411428e-07
8.91250938133737e+06	-4.30124268314845e-10,7.87981301342512e-08
1.00000000000000e+07	-2.71388398618080e-10,5.57847207804705e-08
