Freq.	V(n003)
7.94328234724278e+03	-7.48914957125313e-01,5.89158432780232e-01
8.91250938133741e+03	-4.44340758029355e-01,8.89428669005849e-01
9.99999999999995e+03	-1.39809999799865e-01,9.50806092714460e-01
1.12201845430196e+04	7.29685802582544e-02,9.21320071893891e-01
1.25892541179416e+04	2.22150692749166e-01,8.73391259668209e-01
1.41253754462275e+04	3.35992403487360e-01,8.25543622757415e-01
1.58489319246111e+04	4.29755321346895e-01,7.80231374668950e-01
1.77827941003891e+04	5.10755138237339e-01,7.36428199209172e-01
1.99526231496887e+04	5.82318582574771e-01,6.92938600993269e-01
2.23872113856833e+04	6.45892797519815e-01,6.49114986379854e-01
2.51188643150957e+04	7.02119889290855e-01,6.04871851072384e-01
2.81838293126444e+04	7.51376147615428e-01,5.60521910257516e-01
3.16227766016836e+04	7.94024229422507e-01,5.16592378531849e-01
3.54813389233573e+04	8.30507496935397e-01,4.73673537734306e-01
3.98107170553495e+04	8.61360844047215e-01,4.32314276743068e-01
4.46683592150960e+04	8.87183280804028e-01,3.92962701987305e-01
5.01187233627269e+04	9.08599164122908e-01,3.55942457494835e-01
5.62341325190346e+04	9.26222395328422e-01,3.21453337293286e-01
6.30957344480189e+04	9.40629609957281e-01,2.89585873072344e-01
7.07945784384133e+04	9.52343465490288e-01,2.60342072710074e-01
7.94328234724276e+04	9.61824678151922e-01,2.33657165890188e-01
8.91250938133740e+04	9.69470590206558e-01,2.09419451560661e-01
9.99999999999993e+04	9.75618052041849e-01,1.87486939739472e-01
1.12201845430196e+05	9.80548790993272e-01,1.67700482387315e-01
1.25892541179416e+05	9.84495925316281e-01,1.49893635935423e-01
1.41253754462274e+05	9.87650726308016e-01,1.33899742121845e-01
1.58489319246110e+05	9.90169082598481e-01,1.19556776452310e-01
1.77827941003891e+05	9.92177372939705e-01,1.06710480707185e-01
1.99526231496886e+05	9.93777622220481e-01,9.52162215166326e-02
2.23872113856832e+05	9.95051920124277e-01,8.49399319533415e-02
2.51188643150956e+05	9.96066141680766e-01,7.57584129992343e-02
2.81838293126443e+05	9.96873039044454e-01,6.75592032029777e-02
3.16227766016835e+05	9.97514785259120e-01,6.02401694589023e-02
3.54813389233573e+05	9.98025051199103e-01,5.37089287672011e-02
3.98107170553494e+05	9.98430691363253e-01,4.78821782588637e-02
4.46683592150960e+05	9.98753105909875e-01,4.26849866510319e-02
5.01187233627268e+05	9.99009337165038e-01,3.80500827535311e-02
5.62341325190344e+05	9.99212949885004e-01,3.39171640794765e-02
6.30957344480188e+05	9.99374736355541e-01,3.02322397416552e-02
